member_sk,member_id,member_level,city,valid_from,valid_to,is_current
451,M00386,銀卡,桃園市,2020-01-01,2026-05-31,N
452,M00386,金卡,桃園市,2026-06-01,9999-12-31,Y
453,M00387,金卡,台南市,2020-01-01,9999-12-31,Y
454,M00388,白金,高雄市,2020-01-01,9999-12-31,Y
455,M00389,銀卡,台北市,2020-01-01,9999-12-31,Y
456,M00390,一般,新北市,2020-01-01,9999-12-31,Y
457,M00391,銀卡,新北市,2020-01-01,9999-12-31,Y
458,M00392,金卡,台南市,2020-01-01,9999-12-31,Y
459,M00393,一般,台北市,2020-01-01,9999-12-31,Y
460,M00394,一般,台中市,2020-01-01,9999-12-31,Y
461,M00395,一般,高雄市,2020-01-01,9999-12-31,Y
462,M00396,金卡,高雄市,2020-01-01,9999-12-31,Y
463,M00397,一般,台北市,2020-01-01,9999-12-31,Y
464,M00398,一般,高雄市,2020-01-01,9999-12-31,Y
465,M00399,銀卡,台中市,2020-01-01,9999-12-31,Y
466,M00400,一般,台北市,2020-01-01,9999-12-31,Y
467,M00401,金卡,高雄市,2020-01-01,9999-12-31,Y
468,M00402,金卡,台北市,2020-01-01,2026-05-31,N
469,M00402,白金,台北市,2026-06-01,9999-12-31,Y
470,M00403,白金,台北市,2020-01-01,9999-12-31,Y
471,M00404,銀卡,台南市,2020-01-01,9999-12-31,Y
472,M00405,金卡,台北市,2020-01-01,9999-12-31,Y
473,M00406,一般,台中市,2020-01-01,9999-12-31,Y
474,M00407,一般,高雄市,2020-01-01,9999-12-31,Y
475,M00408,銀卡,桃園市,2020-01-01,9999-12-31,Y
476,M00409,銀卡,桃園市,2020-01-01,9999-12-31,Y
477,M00410,銀卡,高雄市,2020-01-01,9999-12-31,Y
478,M00411,白金,高雄市,2020-01-01,9999-12-31,Y
479,M00412,一般,高雄市,2020-01-01,2026-05-31,N
480,M00412,銀卡,高雄市,2026-06-01,9999-12-31,Y
481,M00413,銀卡,台中市,2020-01-01,9999-12-31,Y
482,M00414,一般,台南市,2020-01-01,9999-12-31,Y
483,M00415,銀卡,桃園市,2020-01-01,9999-12-31,Y
484,M00416,白金,台北市,2020-01-01,9999-12-31,Y
485,M00417,白金,台南市,2020-01-01,9999-12-31,Y
486,M00418,白金,新北市,2020-01-01,9999-12-31,Y
487,M00419,白金,高雄市,2020-01-01,9999-12-31,Y
488,M00420,一般,桃園市,2020-01-01,9999-12-31,Y
489,M00421,金卡,新北市,2020-01-01,9999-12-31,Y
490,M00422,銀卡,高雄市,2020-01-01,9999-12-31,Y
491,M00423,白金,台中市,2020-01-01,9999-12-31,Y
492,M00424,金卡,台中市,2020-01-01,9999-12-31,Y
493,M00425,一般,台北市,2020-01-01,9999-12-31,Y
494,M00426,金卡,新北市,2020-01-01,2026-05-31,N
495,M00426,白金,新北市,2026-06-01,9999-12-31,Y
496,M00427,一般,台中市,2020-01-01,2026-05-31,N
497,M00427,銀卡,台中市,2026-06-01,9999-12-31,Y
498,M00428,銀卡,台北市,2020-01-01,9999-12-31,Y
499,M00429,一般,台中市,2020-01-01,9999-12-31,Y
500,M00430,銀卡,高雄市,2020-01-01,9999-12-31,Y
501,M00431,金卡,高雄市,2020-01-01,9999-12-31,Y
502,M00432,白金,新北市,2020-01-01,9999-12-31,Y
503,M00433,銀卡,台南市,2020-01-01,2026-05-31,N
504,M00433,金卡,台南市,2026-06-01,9999-12-31,Y
505,M00434,一般,台南市,2020-01-01,9999-12-31,Y
506,M00435,一般,桃園市,2020-01-01,9999-12-31,Y
507,M00436,金卡,新北市,2020-01-01,9999-12-31,Y
508,M00437,金卡,新北市,2020-01-01,9999-12-31,Y
509,M00438,白金,台南市,2020-01-01,9999-12-31,Y
510,M00439,一般,桃園市,2020-01-01,9999-12-31,Y
511,M00440,銀卡,新北市,2020-01-01,9999-12-31,Y
512,M00441,金卡,台南市,2020-01-01,9999-12-31,Y
513,M00442,一般,台北市,2020-01-01,2026-05-31,N
514,M00442,銀卡,台北市,2026-06-01,9999-12-31,Y
515,M00443,一般,桃園市,2020-01-01,9999-12-31,Y
516,M00444,一般,台北市,2020-01-01,9999-12-31,Y
517,M00445,一般,台北市,2020-01-01,9999-12-31,Y
518,M00446,銀卡,台中市,2020-01-01,9999-12-31,Y
519,M00447,金卡,台北市,2020-01-01,9999-12-31,Y
520,M00448,金卡,台北市,2020-01-01,9999-12-31,Y
521,M00449,金卡,高雄市,2020-01-01,9999-12-31,Y
522,M00450,銀卡,台中市,2020-01-01,9999-12-31,Y
523,M00451,一般,桃園市,2020-01-01,9999-12-31,Y
524,M00452,白金,桃園市,2020-01-01,9999-12-31,Y
525,M00453,金卡,桃園市,2020-01-01,9999-12-31,Y
526,M00454,一般,台北市,2020-01-01,2026-05-31,N
527,M00454,銀卡,台北市,2026-06-01,9999-12-31,Y
528,M00455,一般,新北市,2020-01-01,9999-12-31,Y
529,M00456,金卡,台南市,2020-01-01,9999-12-31,Y
530,M00457,金卡,台北市,2020-01-01,9999-12-31,Y
531,M00458,金卡,桃園市,2020-01-01,9999-12-31,Y
532,M00459,白金,台南市,2020-01-01,9999-12-31,Y
533,M00460,金卡,台南市,2020-01-01,9999-12-31,Y
534,M00461,白金,桃園市,2020-01-01,9999-12-31,Y
535,M00462,銀卡,新北市,2020-01-01,9999-12-31,Y
536,M00463,一般,台南市,2020-01-01,9999-12-31,Y
537,M00464,金卡,台南市,2020-01-01,9999-12-31,Y
538,M00465,白金,台中市,2020-01-01,9999-12-31,Y
539,M00466,一般,台北市,2020-01-01,2026-05-31,N
540,M00466,銀卡,台北市,2026-06-01,9999-12-31,Y
541,M00467,白金,新北市,2020-01-01,9999-12-31,Y
542,M00468,銀卡,新北市,2020-01-01,2026-05-31,N
543,M00468,金卡,新北市,2026-06-01,9999-12-31,Y
544,M00469,金卡,台北市,2020-01-01,9999-12-31,Y
545,M00470,金卡,台南市,2020-01-01,9999-12-31,Y
546,M00471,白金,高雄市,2020-01-01,9999-12-31,Y
547,M00472,白金,台南市,2020-01-01,2026-05-31,N
548,M00472,白金,台南市,2026-06-01,9999-12-31,Y
549,M00473,銀卡,新北市,2020-01-01,9999-12-31,Y
550,M00474,金卡,高雄市,2020-01-01,9999-12-31,Y
551,M00475,白金,台中市,2020-01-01,9999-12-31,Y
552,M00476,金卡,新北市,2020-01-01,9999-12-31,Y
553,M00477,一般,高雄市,2020-01-01,9999-12-31,Y
554,M00478,金卡,高雄市,2020-01-01,9999-12-31,Y
555,M00479,一般,高雄市,2020-01-01,9999-12-31,Y
556,M00480,白金,桃園市,2020-01-01,9999-12-31,Y
557,M00481,一般,台北市,2020-01-01,9999-12-31,Y
558,M00482,白金,桃園市,2020-01-01,9999-12-31,Y
559,M00483,一般,高雄市,2020-01-01,9999-12-31,Y
560,M00484,銀卡,高雄市,2020-01-01,9999-12-31,Y
561,M00485,銀卡,台中市,2020-01-01,9999-12-31,Y
562,M00486,白金,新北市,2020-01-01,9999-12-31,Y
563,M00487,銀卡,台北市,2020-01-01,9999-12-31,Y
564,M00488,一般,新北市,2020-01-01,9999-12-31,Y
565,M00489,金卡,台北市,2020-01-01,9999-12-31,Y
566,M00490,白金,台中市,2020-01-01,2026-05-31,N
567,M00490,白金,台中市,2026-06-01,9999-12-31,Y
568,M00491,一般,台南市,2020-01-01,2026-05-31,N
569,M00491,銀卡,台南市,2026-06-01,9999-12-31,Y
570,M00492,一般,台南市,2020-01-01,9999-12-31,Y
571,M00493,金卡,台北市,2020-01-01,9999-12-31,Y
572,M00494,一般,桃園市,2020-01-01,9999-12-31,Y
573,M00495,一般,新北市,2020-01-01,9999-12-31,Y
574,M00496,白金,台南市,2020-01-01,2026-05-31,N
575,M00496,白金,台南市,2026-06-01,9999-12-31,Y
576,M00497,金卡,新北市,2020-01-01,2026-05-31,N
577,M00497,白金,新北市,2026-06-01,9999-12-31,Y
578,M00498,白金,台南市,2020-01-01,9999-12-31,Y
579,M00499,白金,台南市,2020-01-01,9999-12-31,Y
580,M00500,一般,新北市,2020-01-01,9999-12-31,Y
